County,Location Number,Location,Address,Zip Code,Dates Available,Hours,Early Voting Location,Note,Latitude,Longitude
Duval,5,Gateway Town Center,"910 W 44th St, Jacksonville, FL",32208,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.36909,-81.6677
Duval,6,Highlands Regional Library,"1826 Dunn Ave, Jacksonville, FL ",32218,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.43422,-81.6759
Duval,7,Legends Community Center,"5130 Soutel Dr, Jacksonville, FL",32208,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.39393,-81.7272
Duval,8,Mandarin Branch Library,"3330 Kori Rd, Jacksonville, FL ",32257,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.2054,-81.6206
Duval,9,Murray Hill United Methodist Church,"4101 College St, Jacksonville, FL ",32205,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.31466,-81.7215
Duval,10,Oceanway Community Center,"12215 Sago Ave W, Jacksonville, FL ",32218,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.45913,-81.6313
Duval,11,Pablo Creek Regional Library,"13295 Beach Blvd, Jacksonville, FL ",32246,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.28821,-81.4734
Duval,12,Regency Square Branch Library,"9900 Regency Square Blvd, Jacksonville, FL",32225,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.3257,-81.5427
Duval,13,San Marco Branch Library,"1513 LaSalle St, Jacksonville, FL",32207,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.30915,-81.6541
Duval,14,South Mandarin Branch Library,"12125 San Jose Blvd, Jacksonville, FL",32223,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.15019,-81.6321
Duval,15,Southeast Regional Library,"10599 Deerwood Park Blvd, Jacksonville, FL ",32256,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.24861,-81.5395
Duval,16,University Park Branch Library,"3435 University Blvd N, Jacksonville, FL ",32277,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.36142,-81.606
Duval,17,Webb-Wesconnett Regional Library,"6887 103rd St, Jacksonville, FL ",32210,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.24902,-81.757
Duval,18,West Branch Library,"1425 Chaffee Rd S, Jacksonville, FL ",32221,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.29439,-81.8478
Duval,19,FSCJ - Deerwood Center,"9911 Old Baymeadows Rd., Jacksonville, FL",32256,October 19th - November 1st,7:00 a.m. to 7:00 p.m.,Yes,Drive-Thru available.,30.22187,-81.5534
Escambia,1,Supervisor of Elections Office,"213 Palafox Pl, Pensacola, FL",32502,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,30.41,-87.2151
Escambia,2,Main Library,"239 Spring Street, Pensacola, FL",32502,October 19th - October 31st,TBD,Yes,,30.41565,-87.2192
Escambia,3,Molino Community Center,"6450-A Highway 95A, Molino, FL",32577,October 19th - October 31st,TBD,Yes,,30.71588,-87.3378
Escambia,4,Genealogy Branch Library,"5740 B, 9th Avenue, Pensacola, FL",32504,October 19th - October 31st,TBD,Yes,,30.48161,-87.2047
Escambia,5,"Southwest Branch Library,","12248 Gulf Beach Highway, Pensacola, FL",32507,October 19th - October 31st,TBD,Yes,,30.32241,-87.4031
Escambia,6,Pensacola Interstate Fairgrounds,"6655 Mobile Highway, Bellview, FL",32526,October 19th - October 31st,TBD,Yes,,30.4727,-87.3116
Escambia,7,Escambia County Extension,"3740 Stefani Road, Cantonment, FL",32533,October 19th - October 31st,TBD,Yes,,30.54302,-87.299
Escambia,8,Brownsville Community Center,"3200 W. DeSoto Street, Pensacola, FL",32505,October 19th - October 31st,TBD,Yes,,30.4232,-87.2535
Escambia,9,University of West Florida Conference Center,"11000 University Pkwy, Pensacola, FL",32514,October 19th - October 31st,TBD,Yes,,30.54287,-87.2182
Flagler,1,Flagler County Supervisor Of Elections Office,"1769 E. Moody Boulevard, Bunnell, FL",32110,From when VBM ballots are mailed out to Election Day at 7pm,24/7,Yes,Drop box is located outside,29.4728,-81.2465
Flagler,2,Flagler County Public Library,"2500 Palm Coast Parkway NW, Palm Coast, FL",32137,October 19th - October 31st,10:00 a.m. to 6:00 p.m.,Yes,,29.55534,-81.2385
